,gene,Gene_Name,log2fc,t_stat,p_val,p_adj,abs_log2fc
5,ENSG00000001084,GCLC,-0.9758458331682877,-8.75227252416538,0.0009392604723735513,0.014361240486110404,0.9758458331682877
26,ENSG00000003400,CASP10,-0.7875340052700492,-14.429715198488633,0.00013407302771230645,0.008192059896392176,0.7875340052700492
31,ENSG00000003989,SLC7A2,-0.9271833426101416,-8.03369923664322,0.0013028946069610651,0.015910282014878124,0.9271833426101416
35,ENSG00000004399,PLXND1,-0.8930576725349106,-3.781019319591203,0.01941871163690934,0.059051983748306267,0.8930576725349106
44,ENSG00000004777,ARHGAP33,-1.1410379884353163,-7.709172883257867,0.0015237323266530396,0.016502623550771242,1.1410379884353163
50,ENSG00000004866,ST7,0.9414341177621675,13.208547300774846,0.00018980840311577744,0.008607757692187317,0.9414341177621675
63,ENSG00000005187,ACSM3,-0.9558669923032046,-4.4465847180913265,0.011276421801215814,0.042508577357335146,0.9558669923032046
64,ENSG00000005189,REXO5,-1.0513494695098247,-4.452619622082422,0.011224002967818721,0.04244007512158339,1.0513494695098247
67,ENSG00000005238,ATOSB,-0.8430397633141352,-3.6035596663653737,0.022686155434946845,0.0652589998977467,0.8430397633141352
68,ENSG00000005243,COPZ2,-0.9169324669916071,-8.360537873381489,0.0011191492433296364,0.01503758279065455,0.9169324669916071
89,ENSG00000006025,OSBPL7,-0.9953315047946094,-10.543309313204428,0.00045775844434476986,0.010878686446029798,0.9953315047946094
92,ENSG00000006118,TMEM132A,-1.4210253809229358,-16.624417877928032,7.669398823727273e-05,0.007197263989938304,1.4210253809229358
95,ENSG00000006282,SPATA20,-0.9651722228472167,-5.946550906487204,0.004011884052042197,0.024809612711245446,0.9651722228472167
101,ENSG00000006468,ETV1,1.3793303657468379,18.295881062733603,5.249738492085288e-05,0.007197263989938304,1.3793303657468379
105,ENSG00000006576,PHTF2,-0.7705719159129943,-4.871260229098807,0.008212216525292821,0.03578079151892361,0.7705719159129943
111,ENSG00000006704,GTF2IRD1,-1.7125343805277022,-11.398958762332052,0.000337854958085381,0.009939186828608696,1.7125343805277022
131,ENSG00000007392,LUC7L,1.0063278949828158,8.06375576865413,0.0012845093573581555,0.015841096008195315,1.0063278949828158
150,ENSG00000008323,PLEKHG6,-2.5255764947785146,-10.48095123870722,0.0004684259186317393,0.011001130050287473,2.5255764947785146
161,ENSG00000008853,RHOBTB2,0.969191130278025,8.150814095339225,0.0012330389600709812,0.015595140483625022,0.969191130278025
182,ENSG00000010295,IFFO1,0.956489788240567,6.024505091233334,0.0038249483687746427,0.02431509300968783,0.956489788240567
183,ENSG00000010310,GIPR,0.8985644690816469,6.228497101053469,0.0033840917266290504,0.02294662040851504,0.8985644690816469
184,ENSG00000010318,PHF7,-1.1731950419000203,-6.382763176584024,0.0030916576153419673,0.021953243714548872,1.1731950419000203
213,ENSG00000011422,PLAUR,-1.1709372838691445,-3.7721701147848017,0.019567718640452675,0.05927567479289769,1.1709372838691445
217,ENSG00000011478,QPCTL,-0.8823043976844164,-10.512526139132582,0.00046298630319059663,0.01093044815543377,0.8823043976844164
221,ENSG00000011638,LDAF1,-0.965072012431107,-6.381970888450973,0.003093078259424525,0.021953243714548872,0.965072012431107
229,ENSG00000012779,ALOX5,-1.2479843898485865,-3.641936768854279,0.021927079844514745,0.06392885361347717,1.2479843898485865
237,ENSG00000013364,MVP,1.0147441409935365,4.277919388364257,0.012868896729321382,0.045825429279746456,1.0147441409935365
241,ENSG00000013441,CLK1,1.1457160178003478,4.269455917996587,0.012955739427860135,0.04606525434612712,1.1457160178003478
255,ENSG00000014257,ACP3,-1.577587188908389,-5.207508052567949,0.006482682592134337,0.03171587798950657,1.577587188908389
274,ENSG00000018189,RUFY3,-1.0759074721579136,-9.85186379195926,0.0005954168331042813,0.011958477026978618,1.0759074721579136
275,ENSG00000018236,CNTN1,-1.0402168857537273,-3.416762331735877,0.026859923648930726,0.072502251466273,1.0402168857537273
280,ENSG00000019485,PRDM11,0.7712611897033663,3.8676582237746975,0.018029352900514842,0.05636704993896915,0.7712611897033663
290,ENSG00000020633,RUNX3,1.0013914076203665,7.297504998685831,0.0018747839720449815,0.017601445702545213,1.0013914076203665
292,ENSG00000021300,PLEKHB1,-1.5502252621336594,-7.817442299604986,0.0014452438425984772,0.016350634297874984,1.5502252621336594
295,ENSG00000021826,CPS1,0.758921051875847,3.6220653633060667,0.02231627622679763,0.06454572264347465,0.758921051875847
307,ENSG00000023445,BIRC3,-1.1188738442681516,-5.051909490114389,0.0072214005954864555,0.033500877510704095,1.1188738442681516
322,ENSG00000025423,HSD17B6,-1.121386112141586,-8.093212766070998,0.0012668013402694132,0.015835387414915535,1.121386112141586
330,ENSG00000026036,RTEL1-TNFRSF6B,-1.0426318332607691,-3.7951406529874787,0.01918373331225355,0.058589287600038745,1.0426318332607691
356,ENSG00000030419,IKZF2,-0.9953732938966205,-6.780946360340305,0.002468922501258844,0.019712843661129385,0.9953732938966205
358,ENSG00000031003,FAM13B,1.0093346016935014,8.89546351720906,0.0008825625382441492,0.013835100071348423,1.0093346016935014
370,ENSG00000033100,CHPF2,0.8668711018675489,8.594633227124714,0.0010069978670024645,0.01463526330802802,0.8668711018675489
376,ENSG00000033867,SLC4A7,-0.8605148092181787,-4.0484337739309195,0.01549573124133122,0.051511042439365884,0.8605148092181787
384,ENSG00000034971,MYOC,-1.8673558909765997,-5.343871240362932,0.005909901785989271,0.030288813604632658,1.8673558909765997
397,ENSG00000036672,USP2,-1.1869586194781276,-9.144363808537301,0.0007937472301189937,0.01331820101189608,1.1869586194781276
413,ENSG00000038945,MSR1,1.049314930536925,4.429823651661809,0.01142356986856866,0.04284371392173845,1.049314930536925
493,ENSG00000049656,CLPTM1L,-0.7840520648175132,-6.634497008943381,0.0026782213664449835,0.0204518722528526,0.7840520648175132
